Language,Form,Gloss,Gloss_Fixed,Source,Form_ID_v1.2
Kadazan_Dusun,tubo-on,"be poisoned with <span class=""wd"">tubo</span>",be poisoned with _tubo_,,287-f8ae6ab1c0302eec0df0dcbb8ca4b349-1
Malagasy,voa-vóvo,"got by a <span class=""wd"">vóvo</span>, as fish","got by a _vóvo_, as fish",,18432-f055ee6c5cc78293be0d99336d3a7323-1
Kelabit,aag,"minced fish or meat, so called because the traditional way of making such products was by tediously chopping (<span class=""wd"">naag</span>) away at the fish or meat until the whole became finely chopped, like minced fish or meat","minced fish or meat, so called because the traditional way of making such products was by tediously chopping (_naag_) away at the fish or meat until the whole became finely chopped, like minced fish or meat",,299-ede687d33d7eae80ea0ea061e387e8f2-1
Sundanese,laŋkah,"step, stride (longer than <span class=""wd"">leŋkah</span>)","step, stride (longer than _leŋkah_)",,418-e0486da40f4480802c3ad914e1b1e57b-1
Tetun,tasi sikun,"a bay or gulf (<span class=""wd"">tasi</span> = ‘sea’)",a bay or gulf (_tasi_ = ‘sea’),,1060-26beae146c5d83ad270c71478ba50865-1
Tongan,keli,"to dig; to dig up (but when speaking of yams , <span class=""wd"">keli</span> is ‘to plant’)","to dig; to dig up (but when speaking of yams , _keli_ is ‘to plant’)",,434-2d873cd086adc8dcd847dd3732697334-1
Saisiyat,ki,"comitative marker (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Li"">Li 1978:605</a></span>)",comitative marker ([Li 1978:605](Source#cldf:li1978)),li1978[605],400-0f3604abaea27c1696ea458a08bc9d17-1
Pangasinan,-en,"passive, e.g. <span class=""wd"">bása-en</span> will be read ... <span class=""wd"">-en</span> is also often used in sentences with imperative force, e.g. <span class=""wd"">Tawag-en moy Pedro</span> (will-be-called by-you + subject marker Pedro = ) (You) call Pedro (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Benton"">Benton 1971a:130</a></span>)","passive, e.g. _bása-en_ will be read ... _-en_ is also often used in sentences with imperative force, e.g. _Tawag-en moy Pedro_ (will-be-called by-you + subject marker Pedro = ) (You) call Pedro ([Benton 1971a:130](Source#cldf:benton1971))",benton1971[130],920-82bced37cf839a4cd8c7138d664afb82-1
Kankanaey,in-,"a prefix; the past form of the suffix <span class=""wd"">-en</span> and of the prefix <span class=""wd"">-i-</span>",a prefix; the past form of the suffix _-en_ and of the prefix _-i-_,,289-7a0bca1b91c1fcd94801c7aaa40802b0-1
Niue,kafika,"a tree: <i>Eugenia inophylloide</i>s; also a name given to the stocks (an introduced method of punishment abandoned many years ago), because made of <span class=""wd"">kafika</span> timber","a tree: _Eugenia inophylloide_s; also a name given to the stocks (an introduced method of punishment abandoned many years ago), because made of _kafika_ timber",,362-0510e2adebd4670d6a23b4cc0e1e3628-1
Kapampangan,búluʔ,"a wild bamboo used to make <span class=""wd"">sawali</span> walling material",a wild bamboo used to make _sawali_ walling material,,291-0cf0f3e9c4c9aa4d29163564e788ec44-1
Maranao,tambed,"to tie; wear <span class=""wd"">malong</span>  (skirt-like garment with open ends) tied around chest",to tie; wear _malong_ (skirt-like garment with open ends) tied around chest,,331-d426caaefa5016103ad33974b084e9ff-1
Kankanaey,sipít-en,"to pinch, to nip with a <span class=""wd"">sípit</span>","to pinch, to nip with a _sípit_",,289-2a8335e656e9c7dad151cb51053103d9-1
Isneg,díta,"venom, poison.  Whether natural (as in snakes, etc.) or artificial (for arrowheads, etc.). Obtained by boiling the bark of the <span class=""wd"">lanúg</span> vine or that of the <span class=""wd"">díta</span> tree; a forest tree whose bark, when boiled, yields a poison to be smeared on arrowheads, etc.","venom, poison. Whether natural (as in snakes, etc.) or artificial (for arrowheads, etc.). Obtained by boiling the bark of the _lanúg_ vine or that of the _díta_ tree; a forest tree whose bark, when boiled, yields a poison to be smeared on arrowheads, etc.",,647-445a38aa6933677b52ce982cee66f846-1
Tsou,mo-cmo,"the others, the rest (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Szakos"">Szakos 1993</a></span>)","the others, the rest ([Szakos 1993](Source#cldf:szakos1993))",szakos1993,1087-b65320d7f3577e2f088eb9d52314c971-1
Javanese,pipir,"beside, next to' (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Pigeaud"">Pigeaud 1938</a></span>)","beside, next to' ([Pigeaud 1938](Source#cldf:pigeaud1938))",pigeaud1938,285-43d4290787aac2c0f8911b7b045c46ee-1
Kapampangan,ma-bugbúg,"bruised (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Forman"">Forman 1971</a></span>)",bruised ([Forman 1971](Source#cldf:forman1971)),forman1971,291-dd6311fb42aead268fb5acdd522917bc-1
Kavalan,s-m-apaR,"to lay mats (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Li"">Li 1982:490</a></span>)",to lay mats ([Li 1982:490](Source#cldf:li1982)),li1982[490],293-d40070ad554aa92e8c3b80972abf83e0-1
Paiwan,pi-,"causative of location; <span class=""wd"">pi-vavaw</span> ‘put on top’, <span class=""wd"">pi-taladj</span> ‘put something inside’","causative of location; _pi-vavaw_ ‘put on top’, _pi-taladj_ ‘put something inside’",,370-473e9c00d656961f4f116dc74d96219c-1
Javanese,ṭoŋṭoŋ-an,"slitgong (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Pigeaud"">Pigeaud 1938</a></span> )",slitgong ([Pigeaud 1938](Source#cldf:pigeaud1938) ),pigeaud1938,285-cdf03de638494a7e7e68ed9ce54e3f2c-1
Amis,sa-,"instrument to accompish a task	 (<span class=""wd"">asik</span> ‘to sweep’, <span class=""wd"">sa-asik</span> ‘broom’)","instrument to accompish a task (_asik_ ‘to sweep’, _sa-asik_ ‘broom’)",,227-289e32d8d94f2deb293c9cba0dea0e59-1
Arosi,huu,"mass (as of black ants), clump (as of <span class=""wd"">tomaho</span> shrubs), cluster (as of singers)","mass (as of black ants), clump (as of _tomaho_ shrubs), cluster (as of singers)",,485-4ce89f51ea5514499503c9c193f81515-1
Rotinese,laŋu,"langu-dizziness: term in ritual language for serious illness (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Fox"">Fox, J. 1993</a></span>)","langu-dizziness: term in ritual language for serious illness ([Fox, J. 1993](Source#cldf:fox1993a))",fox1993a,395-8ade31c48c6e3717c0bfb9a474ad90ec-1
Tiruray,buis,"a propitiatory offering of food, betel, etc. to appease a malevolent being; to offer <span class=""wd"">buis</span>; a tax","a propitiatory offering of food, betel, etc. to appease a malevolent being; to offer _buis_; a tax",,433-10b1c6e280c45327d5910d2895abe613-1
Ifugaw,huboŋ,"specific term for a <span class=""wd"">pang-ó</span> necklace (consists of a number of cylindrical beads)",specific term for a _pang-ó_ necklace (consists of a number of cylindrical beads),,636-44c2644b3c244ff1183e27fdd34206c5-1
Malay,di,"in, at; an inseparable locative prefix, e.g. <span class=""wd"">di-antara</span> (between, among), <span class=""wd"">di-atas</span> (atop, above), <span class=""wd"">di-bawah</span> (at the bottom of, below)","in, at; an inseparable locative prefix, e.g. _di-antara_ (between, among), _di-atas_ (atop, above), _di-bawah_ (at the bottom of, below)",,326-3fec7fdfdc4c80d956a153a2a9bfc826-1
Gedaged,pizi,"to weave (mats, sails, etc.), to braid, to knot (the strands of grass skirts, but usually <span class=""wd"">abi</span> is used)","to weave (mats, sails, etc.), to braid, to knot (the strands of grass skirts, but usually _abi_ is used)",,269-33692d681e8eeb257009af2a4caab695-1
Ibaloy,ka-tdo,"third day of <span class=""wd"">aremag/siling</span> funeral celebration",third day of _aremag/siling_ funeral celebration,,19182-b2a8ad51120be3bcbef7d734e7410478-1
Malay,abaŋ-an,"water conduit of split <span class=""wd"">pinaŋ</span> stem",water conduit of split _pinaŋ_ stem,,326-248cb47124249cdd5d0147a2dcfb7ca9-1
Hawu,ehi,"one (in serial counting only; otherwise 'one' is <span class=""wd"">hèhi</span>)",one (in serial counting only; otherwise 'one' is _hèhi_),,405-f172f297b290e9d781b68f8c267cbc9c-1
Melanau_(Matu),anus,"smoke (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ray"">Ray 1913</a></span>)",smoke ([Ray 1913](Source#cldf:ray1913)),ray1913,836-fdfa02ecf86feac3801254da57c1c9ba-1
Tausug,sumpit-an,"an instrument used for blowing a pointed missile (<span class=""wd"">bawang</span>) with the aid of a wad of kapok or cotton, blowgun (made of bamboo or a material with the same texture as bamboo; has a sight at the end away from the mouth opening)","an instrument used for blowing a pointed missile (_bawang_) with the aid of a wad of kapok or cotton, blowgun (made of bamboo or a material with the same texture as bamboo; has a sight at the end away from the mouth opening)",,18831-bc73a4a63ce59486d099efeaef2347f2-1
Mota,varas,"to stamp for something; to trample on; to trample to death, as intruders in a <span class=""wd"">gamal</span> (men’s house)","to stamp for something; to trample on; to trample to death, as intruders in a _gamal_ (men’s house)",,344-6aa94a238d1b3a1972af33c88dd749fc-1
Tae',suliŋ rapiɁ,"same as <span class=""wd"">tulali</span>, a bamboo flute with two small pipes which fit into two larger ones (<span class=""wd"">rapiɁ</span> = ‘twin’)","same as _tulali_, a bamboo flute with two small pipes which fit into two larger ones (_rapiɁ_ = ‘twin’)",,18947-ec33a20f6d954525dfe82641c7689a8f-1
Sa'a,ona,"freshwater limpet with poisonous spines; stakes of <span class=""wd"">puepue</span> palm or areca palm set in a hole as an enemy trap",freshwater limpet with poisonous spines; stakes of _puepue_ palm or areca palm set in a hole as an enemy trap,,18945-b9fed8049f7f30d18ef8499d9e8153c6-1
Mongondow,mo-naŋag,"to elope with an unmarried girl (elopement with a married woman is <span class=""wd"">moŋ-agow</span>)",to elope with an unmarried girl (elopement with a married woman is _moŋ-agow_),,245-ff728fe6fea92924258bc16e53990f44-1
Tagalog,tuʔáy,"leader of a group in a social function  (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Panganiban"">Panganiban 1966</a></span>)",leader of a group in a social function ([Panganiban 1966](Source#cldf:panganiban1966)),panganiban1966,423-d03c577534445614ac4276564aa14763-1
Fijian,yaca,"grate, grind, file, rub eyes with <span class=""wd"">cika</span> (conjunctivitis)","grate, grind, file, rub eyes with _cika_ (conjunctivitis)",,266-d43601eaac5fe4360b3a0afee27d9ebd-1
Hawaiian,hā,"four, fourth (commonly preceded by the numeral-marking prefixes, as <span class=""wd"">ʔehā keiki</span>, four children)","four, fourth (commonly preceded by the numeral-marking prefixes, as _ʔehā keiki_, four children)",,620-679583dcd7b5787487aa3b53404ae1dc-1
Karo_Batak,pe-niku,"a mini-fathom, from the fingertips of one hand to the elbow of another arm (thus an <span class=""wd"">esta</span> [distance from the tip of the middle finger to the elbow] less than a <span class=""wd"">depa</span>)","a mini-fathom, from the fingertips of one hand to the elbow of another arm (thus an _esta_ [distance from the tip of the middle finger to the elbow] less than a _depa_)",,18314-54efdd50487e20f05e5962ab9d2cac79-1
Manam,nono,"to eat (only of mangoes) (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Böhm"">Böhm 1975</a></span>), to suck (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Blust"">Blust n.d</a></span>.)","to eat (only of mangoes) ([Böhm 1975](Source#cldf:bohm1975)), to suck (Blust n.d.)",bohm1975,328-be953dbd2086a3b874ff3959c7b01bd5-1
Kwaio,unu,"native torch; to light, illuminate; divine a thief using a magical torch, <span class=""wd"">unu-a</span> cook vegetables (or edible insects) by steaming in a leaf-plugged bamboo tube on an open fire","native torch; to light, illuminate; divine a thief using a magical torch, _unu-a_ cook vegetables (or edible insects) by steaming in a leaf-plugged bamboo tube on an open fire",,307-027d8e547879d38daf70678d6f74dea6-1
Ifugaw_(Batad),būhug,"hunter's bow, weapon used with an arrow (<span class=""wd"">pāna</span>) for hunting small animals such as birds and snakes; cotton fluffer (made of bamboo in the shape of a bow, about 33 cm. long); for someone to fluff cotton with a fluffer","hunter's bow, weapon used with an arrow (_pāna_) for hunting small animals such as birds and snakes; cotton fluffer (made of bamboo in the shape of a bow, about 33 cm. long); for someone to fluff cotton with a fluffer",,18225-4b18957d715d25af8ed34cb7c03de209-1
Waray-Waray,giliŋ,"the act of crushing wet rice so as to extract its juice (done in cooking <span class=""wd"">bibingká</span> [native rice cake])",the act of crushing wet rice so as to extract its juice (done in cooking _bibingká_ [native rice cake]),,19275-e6708fbb79550d447a5c785adfc64c84-1
Javanese,ḍemḍem(an),"babble about schemes against oneself (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Pigeaud"">Pigeaud 1938</a></span>)",babble about schemes against oneself ([Pigeaud 1938](Source#cldf:pigeaud1938)),pigeaud1938,285-57eedbc41002cdbe6593d01aa591beb5-1
Fijian,saku,"a swordfish, <i>Makaira</i> spp, of the following kinds: <span class=""wd"">saku-voro-waŋga</span>, a large kind that can sink canoes; <span class=""wd"">saku-laya</span>, the sawfish proper; <span class=""wd"">saku-lele</span>, a small kind","a swordfish, _Makaira_ spp, of the following kinds: _saku-voro-waŋga_, a large kind that can sink canoes; _saku-laya_, the sawfish proper; _saku-lele_, a small kind",,266-7d88bd657b9c2b5ca48795cdf23c9289-1
Sa'a,laʔe rahu,"an albino (<span class=""wd"">laʔe</span> = leprosy)",an albino (_laʔe_ = leprosy),,18945-1a1819218b284925c713dea5aa40f0da-1
Ivatan,tavayay,"a shell of mature white squash hollowed out and used for carrying water (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Maree"">Maree and Tomas 2012</a></span>)",a shell of mature white squash hollowed out and used for carrying water ([Maree and Tomas 2012](Source#cldf:mareeandtomas2012)),mareeandtomas2012,18956-97d4a532fc87052da2a8b4976b66eabb-1
Tagalog,baŋkúro,"<i>Morinda citrifolia</i> L. (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",_Morinda citrifolia_ L. ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,423-8203bf037194b0f4dd45ac222805819d-1
Karo_Batak,jumah sabah,"irrigated ricefield (<span class=""wd"">jumah</span> ‘swidden’)",irrigated ricefield (_jumah_ ‘swidden’),,18314-7e6650cd4db7ef0b39d05fb02b8d4197-1
Bikol,lúgaw,"rice porridge, gruel, topped with fried garlic and served with a side dish of <span class=""wd"">tókwa</span> (pressed soybean curd), onion and vinegar","rice porridge, gruel, topped with fried garlic and served with a side dish of _tókwa_ (pressed soybean curd), onion and vinegar",,244-88133d76b1df845980ed384da0547b2e-1
Ifugaw,bokón,"exclusive, i.e. restrictive negation; if <span class=""wd"">bokón</span> itself functions as a verb it means 'refuse', 'not want', 'reject', 'take ill' or something similar","exclusive, i.e. restrictive negation; if _bokón_ itself functions as a verb it means 'refuse', 'not want', 'reject', 'take ill' or something similar",,636-1082c51ecb61a2ab7453e5b4697b94a2-1
Ilokano,ag-pa-kleb,"to fall prone; to lie on the stomach (cited under base <span class=""wd"">kelléb</span>)",to fall prone; to lie on the stomach (cited under base _kelléb_),,279-4ac9bf2f19d28b172e542c832df8fe3b-1
Tongan,mahaki-ʔia,"to be sick or unwell (a milder or more polite word than <span class=""wd"">puke</span>): of persons, animals, etc., and trees or plants; of a woman, to have her monthly sickness","to be sick or unwell (a milder or more polite word than _puke_): of persons, animals, etc., and trees or plants; of a woman, to have her monthly sickness",,434-4cfcf56e15d31427ca249cd5c2ab7d5d-1
Ilokano,lebbék,"smash, pound in the mortar (with a pestle). Cooked rice, bananas, <span class=""wd"">dodomén</span> or roasted immature rice, etc.","smash, pound in the mortar (with a pestle). Cooked rice, bananas, _dodomén_ or roasted immature rice, etc.",,279-2f1434f1199cf393c657e0472b0d8eb9-1
Motu,bobo,"a fool (the <span class=""wd"">o</span> is long)",a fool (the _o_ is long),,345-2be3b99a51572b2a3f323605fd42e5b0-1
Ilokano,-ko,"ergative first person singular enclitic pronoun: I, my; changes to <span class=""wd"">–k</span> after vowels and the suffixes <span class=""wd"">–an</span> and <span class=""wd"">-en</span>","ergative first person singular enclitic pronoun: I, my; changes to _–k_ after vowels and the suffixes _–an_ and _-en_",,279-0721b1351d2761a3675ef014d5f79be8-1
Isneg,mag-battáʔ,"to bind rice into <span class=""wd"">battáʔ</span>",to bind rice into _battáʔ_,,647-612f3a9a2f767f6625cf208df1f5dfe2-1
Kapampangan,liño,"setting teeth on edge (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Bergaño"">Bergaño 1860</a></span>)",setting teeth on edge ([Bergaño 1860](Source#cldf:bergano1860)),bergano1860,291-02cf1601f5a5a886bda51ea62216baf1-1
Lau,"aŋo-aŋo rake, rake aŋo-aŋo","anger (<span class=""wd"">rake</span> = 'stomach')",anger (_rake_ = 'stomach'),,313-a66a743714edc02516f91fb6df3818dc-2
Fijian,voca,"to be wrecked on a reef, of a canoe (stronger than <span class=""wd"">kasa</span> to run aground, of a canoe)","to be wrecked on a reef, of a canoe (stronger than _kasa_ to run aground, of a canoe)",,266-d221025762eb7e51ce46ec82577c14a2-1
Nias,ma-nuwa,"to poison fish with <span class=""wd"">tuwa</span>",to poison fish with _tuwa_,,361-a55c5003cae89a8a7f236f96479c688a-1
Mussau,ai-,"reciprocal or collective action (possibly fossilized in <span class=""wd"">ai-obi</span> 'fight', <span class=""wd"">ai-ora</span> 'copulate')","reciprocal or collective action (possibly fossilized in _ai-obi_ 'fight', _ai-ora_ 'copulate')",,352-9f490f291667eb6a04f824ca01fbaee1-1
Tiruray,rafuʔ,"branches laid across a trail to block its use; to place <span class=""wd"">rafuɁ</span>",branches laid across a trail to block its use; to place _rafuɁ_,,433-b2333c7748019216a5c01642a2dc33fe-1
Lau,fā-,"causative prefix which also makes transitive verbs from intransitive verbs, adjectives and nouns (<span class=""wd"">roŋo</span> ‘to hear’ : <span class=""wd"">fā-roŋo</span> ‘to tell’; <span class=""wd"">mamagu</span> ‘fear’ : <span class=""wd"">fā-mamagu</span> ‘loathsome’; <span class=""wd"">ŋū</span> ‘to sing’ : <span class=""wd"">fā-ŋū</span> ‘teach to sing’)","causative prefix which also makes transitive verbs from intransitive verbs, adjectives and nouns (_roŋo_ ‘to hear’ : _fā-roŋo_ ‘to tell’; _mamagu_ ‘fear’ : _fā-mamagu_ ‘loathsome’; _ŋū_ ‘to sing’ : _fā-ŋū_ ‘teach to sing’)",,313-d587863d409b8e6f05b93cba80968c76-1
Binukid,ulayan,"a tree: <i>Lithocarpus</i> spp. (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a tree: _Lithocarpus_ spp. ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,19012-3dbb74eefa8d8433b7ff7fec34a96665-1
Iban,deruʔ guntur,"roll of thunder (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Scott"">Scott 1956</a></span>)",roll of thunder ([Scott 1956](Source#cldf:scott1956)),scott1956,276-80173ec9768ae5fba645bb7fa70cf745-1
Karo_Batak,-ken,"transitive or causative suffix (<span class=""wd"">tasak</span> ‘ripe, ready to eat’ : <span class=""wd"">tasak-ken</span> ‘to make ready, cook’ <span class=""wd"">pajek</span> ‘vertical’ : <span class=""wd"">pajek-ken</span> ‘to erect’; <span class=""wd"">peti</span> ‘box’ : <span class=""wd"">peti-ken</span> ‘to put into a box’, <span class=""wd"">begi</span> ‘to hear’ : <span class=""wd"">begi-ken</span> ‘to listen to’","transitive or causative suffix (_tasak_ ‘ripe, ready to eat’ : _tasak-ken_ ‘to make ready, cook’ _pajek_ ‘vertical’ : _pajek-ken_ ‘to erect’; _peti_ ‘box’ : _peti-ken_ ‘to put into a box’, _begi_ ‘to hear’ : _begi-ken_ ‘to listen to’",,18314-b2a70583af20a3cfecec660e7fe5ba10-1
Ilokano,namot,"a tree: <i>Cynometra ramiflora</i> L. (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a tree: _Cynometra ramiflora_ L. ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,279-d7bb67f64e3051cc37f000234f44f721-1
Maori,maro,"a sort of kilt or apron worn by males and females; material (moss, lichen, etc.) used by a woman at certain periods; to put on, as a <span class=""wd"">maro</span>","a sort of kilt or apron worn by males and females; material (moss, lichen, etc.) used by a woman at certain periods; to put on, as a _maro_",,330-58b6cf6332d5ff0680c62e24e2e34ab5-1
Sundanese,su-sumpiŋ,"an ear ornament, worn on <span class=""wd"">topengs</span> (masks), and on shadow puppets; also a certain talisman or amulet worn behind the ear in former times","an ear ornament, worn on _topengs_ (masks), and on shadow puppets; also a certain talisman or amulet worn behind the ear in former times",,418-1ead4983ecb32b3493839abd5753488b-1
Pohnpeian,umwun,"bake in an <span class=""wd"">uhmw</span> (trans.)",bake in an _uhmw_ (trans.),,381-98a4bfa0c6b008b397f5804afb8615e0-1
Itbayaten,ka-,"creates abstract nouns of quality: <span class=""wd"">ka-vayah</span> ‘redness’ (cp. <span class=""wd"">vayah</span> ‘red color’)",creates abstract nouns of quality: _ka-vayah_ ‘redness’ (cp. _vayah_ ‘red color’),,282-9427527dac6442b7cc6bfbba65991e4a-1
Kayan,kayoʔ tahah,"the <span class=""wd"">belian</span> tree species; used for posts, making boards, etc.","the _belian_ tree species; used for posts, making boards, etc.",,294-d0a336c634d03506784dea1054ab8361-1
Old_Javanese,a-sawah-sawah,"to work in the <span class=""wd"">sawah</span>, grow irrigated rice","to work in the _sawah_, grow irrigated rice",,660-7cc3dd26937e6818082cb5d36cabf237-1
Kadazan_Dusun,bogok,"domesticated pig (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ray"">Ray 1913</a></span>)",domesticated pig ([Ray 1913](Source#cldf:ray1913)),ray1913,287-86f9ca9cd7c73d15a09a5d522545e61b-1
Mansaka,atipuru,"kind of breadfruit: Artocarpus blancoi (Elm.) (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",kind of breadfruit: Artocarpus blancoi (Elm.) ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,825-8e44917210135b518d23a1696c37ce11-1
Kédang,ene,"sand (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Fox"">Fox, J. n.d</a></span>.)","sand ([Fox, J. n.d](Source#cldf:foxnd).)",foxnd,695-88336b5bb2a1cc21bac7cf33fd451270-1
Lau,mā-fafo,"a covering (<span class=""wd"">fafo</span> = ‘on top’)",a covering (_fafo_ = ‘on top’),,313-e4cc92d1e35a8c59094a4e58dcd6bbe7-1
Old_Javanese,i-,"particle with a prepositional function before nouns, often combined with the definite particle <span class=""wd"">ŋ</span> to <span class=""wd"">iŋ</span>.  Occurs before nouns which in the sentence function as grammatical object (esp. before place-names)","particle with a prepositional function before nouns, often combined with the definite particle _ŋ_ to _iŋ_. Occurs before nouns which in the sentence function as grammatical object (esp. before place-names)",,660-6d0ab64a5f878d4d967800eb5bcd7142-1
Toba_Batak,ate-ate,"liver.  In Batak psychology this is the seat of perception and emotion; for this reason <span class=""wd"">ateate</span> is often synonymous with <span class=""wd"">roha</span> (in Germanic languages: heart)",liver. In Batak psychology this is the seat of perception and emotion; for this reason _ateate_ is often synonymous with _roha_ (in Germanic languages: heart),,427-5e6c138127997c899794f8038253eb86-1
Niue,haku lā,"true swordfish (compare <span class=""wd"">haku piu</span> 'sailfish')",true swordfish (compare _haku piu_ 'sailfish'),,362-63153f0b2a766c8143a8c38b9969785a-1
Iban,libas,"guava (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Scott"">Scott 1956</a></span>); fruit tree, unident. (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Richards"">Richards 1981</a></span>)","guava ([Scott 1956](Source#cldf:scott1956)); fruit tree, unident. ([Richards 1981](Source#cldf:richards1981))",scott1956 richards1981,276-267954fe21abea590a8fa171330405c1-1
Lakalai,o-,"locative marker (in expressions such as <span class=""wd"">o-ata</span> 'up, on top of', <span class=""wd"">o-hulu</span> 'in the men's house', <span class=""wd"">o-luma</span> 'in the family house', <span class=""wd"">o-mai</span> 'here, hither, toward me', and <span class=""wd"">o-muli</span> 'to the left as one faces inland')","locative marker (in expressions such as _o-ata_ 'up, on top of', _o-hulu_ 'in the men's house', _o-luma_ 'in the family house', _o-mai_ 'here, hither, toward me', and _o-muli_ 'to the left as one faces inland')",,877-e306718e5a53f685912b28eb9d4ccbd7-1
Mota,malo,"a tree, probably a mulberry; the girdle of leaves and flowers used by <span class=""wd"">tamate</span> (members of the ‘ghost’ society)","a tree, probably a mulberry; the girdle of leaves and flowers used by _tamate_ (members of the ‘ghost’ society)",,344-b89fb3b8049558d9302cca7bc774314a-1
Mbula,-keke,"hard, stiff, rigid (cf. <span class=""wd"">ke</span> ‘tree’)","hard, stiff, rigid (cf. _ke_ ‘tree’)",,815-50c0ab21230ce909382909d19a030cab-1
Aklanon,k&lt;in&gt;abási,"bolo (having shape of <span class=""wd"">kabási</span>)",bolo (having shape of _kabási_),,226-4cd3f5438e1a519075ed7a1ee623193a-1
Bunun,nanaq,"pus (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Li"">Li 2004</a></span>)",pus ([Li 2004](Source#cldf:li2004)),li2004,250-4d4ba904b38d85f8001cd15526c82a56-1
Bontok,s&lt;in&gt;aŋlag,"something cooked in the <span class=""wd"">saŋlag</span> manner",something cooked in the _saŋlag_ manner,,246-b3dcf5ff8ee3288f4df52a72d72937f9-1
Tontemboan,saŋa-anak,"a 'nest of children', a brood.  Also used of people, as in <span class=""wd"">saŋa anak sera</span> 'they were born at the same time/they are twins'","a 'nest of children', a brood. Also used of people, as in _saŋa anak sera_ 'they were born at the same time/they are twins'",,19052-33279c5167b9a10bbf00dd8ff7478b30-1
Tae',taliŋa balao,"(lit. 'rat's ear') kind of fungus that grows on the underside of a decayed bamboo <span class=""wd"">betuŋ</span>",(lit. 'rat's ear') kind of fungus that grows on the underside of a decayed bamboo _betuŋ_,,18947-20d936306b345a7352414bd5af417871-1
Kwaio,kwai-lasi,"poisonous tree (<span class=""wd"">kwai</span> = 'river, water', <span class=""wd"">kwaikwai-na</span> = 'juice, liquid, sap')","poisonous tree (_kwai_ = 'river, water', _kwaikwai-na_ = 'juice, liquid, sap')",,307-f62d2090a0d1786358ab59a0434d1310-1
Itbayaten,atep-i,"imperative form of <span class=""wd"">atp-an</span>: roof it!",imperative form of _atp-an_: roof it!,,282-58dd462c3e678e644600b3bb151ab114-1
Ilokano,-in-,"perfective infix of <span class=""wd"">-en</span> and <span class=""wd"">-an</span> verbs and many complex verbs with these endings",perfective infix of _-en_ and _-an_ verbs and many complex verbs with these endings,,279-390c28c4abe3d84bf24b43a72065504d-1
Rennellese,toa,"ironwood (none on Bellona, and on Rennell only on cliffs; in ancient times ceremonial paddles were placed at the bases of cliffs, and with proper incantations <span class=""wd"">toa</span> branches were said to have fallen down); reddish, finely-branching coral on the sea bottom; when taken ashore <span class=""wd"">toa</span> turns black; named for the ironwood","ironwood (none on Bellona, and on Rennell only on cliffs; in ancient times ceremonial paddles were placed at the bases of cliffs, and with proper incantations _toa_ branches were said to have fallen down); reddish, finely-branching coral on the sea bottom; when taken ashore _toa_ turns black; named for the ironwood",,390-7f573f163ebdf830bd07491f33617fe3-1
Sa'a,täli,"to split down, to tear down the stem of the betel pepper preparatory to eating, to split a vine or a bamboo, to strip the skin of <span class=""wd"">wale</span> cane","to split down, to tear down the stem of the betel pepper preparatory to eating, to split a vine or a bamboo, to strip the skin of _wale_ cane",,18945-736e75ca5de9d6e204100f2b19e8bdaa-1
Karo_Batak,buŋa,"name of a smaller cotton shrub than the <span class=""wd"">buŋa kembayat</span>; cotton, cotton-wool; blossom, flower; interest on a loan","name of a smaller cotton shrub than the _buŋa kembayat_; cotton, cotton-wool; blossom, flower; interest on a loan",,18314-d8e1ec0db10215ce2e08f2613b287feb-1
